id;ligne;titre;date;artiste;lieu;description;image;tags;largeur;hauteur;octets
portrait-des-enfants-du-peintre-chassant-un-papi_vers-1756;37;Portrait des enfants du peintre chassant un papillon;vers 1756;Thomas Gainsborough;National Gallery Londres;Attitude spontanée, tendresse avec les mains tenues, absence d’attributs officiels, cadre privé et familial.;portrait-des-enfants-du-peintre-chassant-un-papi_vers-1756.jpg;Peinture, Huile, Portrait;1298;1400;178517
l-accordee-du-village_1761;38;L’accordée du village;1761;Jean-Baptiste Greuze;Louvre;rhétorique des gestes et des expressions qui guident la lecture (famille émue exprime des gestes de tendresse, personnages dans le fond jaloux, la fille baisse les yeux, partagée entre pudeur et émotion), composition du grand genre appliqué à la scène de genre (plein de persos autour d’un élément central, gestes soigneusement construits). On transmet les valeurs de devoir, d’amour, de fidélité.;l-accordee-du-village_1761.jpg;Peinture, Huile, Scène de genre, Histoire;1400;1080;233802
septime-severe-reprochant-a-caracalla-d-avoir-vo_1769;39;Septime Sévère reprochant à Caracalla d’avoir voulu l’assassiner;1769;Jean-Baptiste Greuze;Louvre;Tentative de Greuze de faire de la peinture d’Histoire, échec;septime-severe-reprochant-a-caracalla-d-avoir-vo_1769.jpg;Peinture, Huile, Histoire, néoclassicisme;768;602;86752
nature-morte-au-trophee-de-gibier-fruit-et-perro_1716;40;nature morte au trophée de gibier, fruit et perroquet, niche;1716;Alexandre- françois Desportes;Collection Bemberg, Toulouse;;nature-morte-au-trophee-de-gibier-fruit-et-perro_1716.jpg;Peinture, Huile, Nature morte, animaux;1132;1400;260315
le-rhinoceros-clara_1749;41;le Rhinocéros Clara;1749;Jean Baptiste Oudry;musée d'État de Schwerin;;le-rhinoceros-clara_1749.jpg;Peinture, Huile, animaux;544;367;26198
la-raie_1728;42;La raie;1728;Jean Siméon Chardin;Louvre;morceau d’agrément, même noblesse apportée au sujet qu’à une peinture d’Histoire. Simplicité des objets, poésie du quotidien, silence. Grande virtuosité dans le rendu réaliste.;la-raie_1728.jpg;Peinture, Huile, nature morte, animaux;1400;1092;284476
vue-du-port-de-bordeaux-depuis-le-chateau-trompe_1759;43;vue du port de bordeaux depuis le château Trompette;1759;Claude Joseph Vernet;musée de la Marine;Commande royale des vues des ports français, propagande politique. paysage idéalisé, lumière douce du soir ou matin. Vedute. sensibilité poétique.;vue-du-port-de-bordeaux-depuis-le-chateau-trompe_1759.jpg;Peinture, Huile, paysage;640;407;29100
serie-de-gravure-des-prisons-imaginaires_a-partir-de-1750;44;série de gravure des “prisons imaginaires”;à partir de 1750;Jean Baptiste Piranèse;;exploration de l’angoisse, de l’imaginaire, du sublime;serie-de-gravure-des-prisons-imaginaires_a-partir-de-1750.jpg;estampes;648;868;246296
vue-de-la-grande-galerie-en-ruines_1796;45;Vue de la grande galerie en ruines;1796;Hubert Robert;Louvre;Toute civilisation est vouée à s’éteindre, même la nôtre. On retrouve l’apollon du belvédère.;vue-de-la-grande-galerie-en-ruines_1796.jpg;Peinture, Huile, paysage;640;501;65811
la-renommee-a-cheval-sur-pegase_1700;46;La renommée à cheval sur Pégase;1700;Antoine Coysevox;Louvre;Pour le château de Marly, On quitte le classicisme versaillais hiératique, élan, torsion de la renommée, cheval cabré;la-renommee-a-cheval-sur-pegase_1700.jpg;Sculpture, marbre, animaux, Baroque;563;750;72649
