id;ligne;titre;date;artiste;lieu;image;tags;largeur;hauteur;octets
voltaire-nu_1770;49;Voltaire nu;1770;Jean-Baptiste Pigalle;louvre;voltaire-nu_1770.jpg;Sculpture, marbre, Portrait,;1046;1400;177007
voltaire-assis_1779;50;Voltaire assis;1779;Houdon;Musée Fabre, Montpellier;voltaire-assis_1779.jpg;Sculpture, céramique, terre cuite, Portrait, néoclassicisme;500;687;65746
l-amour-se-taillant-un-arc-dans-la-masse-d-hercu_1750;51;L’amour se taillant un arc dans la masse d’Hercule;1750;Edme Bouchardon;Louvre;l-amour-se-taillant-un-arc-dans-la-masse-d-hercu_1750.jpg;Sculpture, marbre, néoclassicisme;905;1400;190797
les-mangeurs-de-raisin_1752;52;Les mangeurs de raisin;1752;Manufacture de Vincennes, François Boucher;MADD;les-mangeurs-de-raisin_1752.jpg;Céramique, Sculpture, Rocaille, Porcelaine;612;408;20324
la-baigneuse_1757;53;la baigneuse;1757;Etienne Maurice Falconet;Louvre;la-baigneuse_1757.jpg;Marbre, sculpture, rocaille;223;480;10756
l-amour-menacant_1757;54;L’amour menaçant;1757;Etienne Maurice Falconet;Louvre;l-amour-menacant_1757.jpg;Marbre, sculpture, rocaille;390;607;24249
parc-monceau_1773-1778;55;Parc Monceau;1773-1778;;Paris;parc-monceau_1773-1778.jpg;Jardin, architecture;800;532;137416
le-parasol_1777;56;Le parasol;1777;Francisco de Goya;Musée du Prado;le-parasol_1777.jpg;Peinture, scène de genre, tapisserie;1400;970;202561
la-famille-de-charles-iv_1800;57;La famille de Charles IV,;1800;Francisco de Goya, Prado.;Musée du Prado;la-famille-de-charles-iv_1800.jpg;Peinture, huile, portrait;960;801;134199
la-maja-desnuda_1800;58;la maja desnuda;1800;Francisco de Goya;Musée du Prado;la-maja-desnuda_1800.jpg;Peinture, huile, portrait;627;318;20009
portrait-de-marie-antoinette-avec-ses-enfants_1787;59;Portrait de Marie-Antoinette avec ses enfants;1787;Elisabeth Vigée le Brun, 1787, Versailles;Versailles;portrait-de-marie-antoinette-avec-ses-enfants_1787.jpg;Peinture, huile, portrait;1069;1400;264418
joueuse-de-tympanon_vers-1780;60;Joueuse de Tympanon;vers 1780;Roentgen et Kinzing,;Musée des arts et métiers;joueuse-de-tympanon_vers-1780.jpg;Jouet, musique, mobilier;1400;950;149468
le-hameau-de-la-reine_1783-1786;61;Le hameau de la reine,;1783-1786;;Versailles;le-hameau-de-la-reine_1783-1786.jpg;Architecture, jardin;1400;934;244977
cartel-d-applique_1730;62;Cartel d’applique;1730;Charles Cressent, François Audinet;Louvre;cartel-d-applique_1730.jpg;Bronze, horlogerie, Régence,;480;640;31090
commode-au-singe_1745;63;Commode au singe;1745;Charles Cressent;Louvre;commode-au-singe_1745.jpg;Mobilier, commode, Régence, bronze;915;634;75406
pelerinage-a-l-ile-de-cythere_1717;64;Pèlerinage à l'île de Cythère;1717;Antoine Watteau;Louvre;pelerinage-a-l-ile-de-cythere_1717.jpg;Rocaille, peinture, Huile, scène de genre;1280;839;316316
discours-prononces-dans-les-conferences-de-l-aca_1721;65;Discours prononcés dans les conférences de l’académie royale;1721;Antoine Coypel;;discours-prononces-dans-les-conferences-de-l-aca_1721.jpg;Citation, Rocaille;183;275;11121
commode-en-vernis-martin_1742;66;Commode en vernis martin;1742;Matthieu Criaerd;Louvre;commode-en-vernis-martin_1742.jpg;Mobilier, Commode, Rocaille, bronze;640;480;44173
commode-laque-japonaise_1737;67;Commode laque japonaise;1737;Bernard van Riesen Burgh, Thomas-Joachim Hébert;Louvre;commode-laque-japonaise_1737.jpg;Mobilier, Commode, Rocaille, bronze;940;706;102292
